,Platform,Brand,Category,Product Name ,Price,Reviewer,Review,Review_clean,Product Purchase,Ratings,Date Of Review,Response
1284,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,nanasmith24687,super fast delivery and proper wrapped 👍👍,super fast delivery and proper wrapped,Variation: MIX,5.0,2019-10-10 18:25:00,yes
1285,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,lavoro,"very fast delivery! first time testing out this brand, really hope they are good, so that can buy more in the future! 👍!",very fast delivery first time testing out this brand really hope they are good so that can buy more in the future,Variation: LIGHT COMPLETE,5.0,2019-08-25 00:39:00,no
1286,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,katesg,received after 2 days. 😁 first time that will be using garnier mask. hope it will do a great job. #shopeehaul,received after 2 days first time that will be using garnier mask hope it will do a great job shopeehaul,Variation: MIX,5.0,2019-09-03 16:56:00,no
1287,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,celinelyt,"received in very good condition!
exp 12/21 so still have a long time ahead

packaged very nicely and the customer service is prompt and amazing as well. 
hope it help with my friends dry skin
will buy more in the future

thank you for the pleasant experience ",received in very good condition exp 12 21 so still have a long time ahead packaged very nicely and the customer service is prompt and amazing as well hope it help with my friends dry skin will buy more in the future thank you for the pleasant experience,Variation: LAVENDER,5.0,2019-08-22 16:51:00,no
1288,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,arunrpillai,recieved fine. well packed. yet to use.,received fine well packed yet to use,Variation: LIGHT COMPLETE,5.0,2019-09-28 23:02:00,no
1289,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,evawu10,very fast delivery!!! hopefully these masks are suitable!!!!!!!!!! ,very fast delivery hopefully these masks are suitable,Variation: POMEGRANATE,5.0,2019-09-05 21:31:00,no
1290,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,ofelialjy,have yet to try out the black algae version and hope it suits my skin! theyre super affordable and even more so when thrs discounts!! will definitely purchase more nxt time! fast delivery!!,have yet to try out the black algae version and hope it suits my skin there super affordable and even more so when this discounts will definitely purchase more not time fast delivery,Variation: MIX,5.0,2019-08-22 19:58:00,no
1291,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,deboyz,nicely packed. fast delivery. very long expiry date 02/2022.,nicely packed fast delivery very long expiry date 02 2022,Variation: MIX,5.0,2019-09-04 06:19:00,no
1292,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,triciatris,"received items in good order.
all expire in yr 2022. yet to try out any of them.

reduce to 3 stars as just realise masks made in china!!",received items in good order all expire in yr 2022 yet to try out any of them reduce to 3 stars as just realise masks made in china,Variation: MIX,3.0,2019-08-22 18:25:00,no
1293,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,inshirahelysha,"item received as describe. proper pack. fast delivery,will purchase again from this seller. thanks you. ",item received as describe proper pack fast delivery will purchase again from this seller thanks you,Variation: SAKURA WHITE,5.0,2019-08-22 10:36:00,no
1294,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,ailingsal,fast delivery and good deals ,fast delivery and good deals,Variation: MIX,5.0,2019-09-03 21:21:00,no
1295,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,berlindathng,super fast delivery! nicely wrapped! will order again in future! ,super fast delivery nicely wrapped will order again in future,Variation: SAKURA WHITE,5.0,2019-08-27 13:39:00,no
1296,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,kakkoii.ko,"fast delivery, item was well packaged. mask has a pleasant scent ",fast delivery item was well packaged mask has a pleasant scent,Variation: POMEGRANATE,5.0,2019-08-21 21:18:00,no
1297,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,melissang,i love these masks!!! 🥳🥳🥳🥳 super happy to have bought them on sale! ,i love these masks super happy to have bought them on sale,Variation: LIGHT COMPLETE,5.0,2019-08-22 22:01:00,no
1298,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,eltrut34,"fast delivery, have yet to try out the masks ",fast delivery have yet to try out the masks,Variation: BLACK RICE,5.0,2019-09-03 22:32:00,no
1299,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,alaytrix,super worth it. love the mask and its good to choose mix so that you are able to try and test each one of them. thank u,super worth it love the mask and its good to choose mix so that you are able to try and test each one of them thank u,Variation: MIX,5.0,2019-08-22 00:57:00,no
1300,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,16baopwc,"well received!! look forward trying the masks, will buy when offer again",well received look forward trying the masks will buy when offer again,Variation: MIX,5.0,2019-08-21 13:26:00,no
1301,Shopee,Garnier,Mask,[Bundle of 15] Garnier Hydra Bomb Serum Sheet Mask + 50ml Micellar Water,30.0,ivanny85,fast delivery. packaged well enough. items arrived as described. recommended!,fast delivery packaged well enough items arrived as described recommended,Variation: SAKURA WHITE,5.0,2019-08-22 16:28:00,no
